altname,wsname,base,quote
TLMUSD,TLM/USD,TLM,ZUSD
ATOMXBT,ATOM/XBT,ATOM,XXBT
BALXBT,BAL/XBT,BAL,XXBT
FISUSD,FIS/USD,FIS,ZUSD
NMREUR,NMR/EUR,NMR,ZEUR
OMGXBT,OMG/XBT,OMG,XXBT
FARMUSD,FARM/USD,FARM,ZUSD
FETUSD,FET/USD,FET,ZUSD
KSMXBT,KSM/XBT,KSM,XXBT
SBRUSD,SBR/USD,SBR,ZUSD
TEUR,T/EUR,T,ZEUR
USDCUSDT,USDC/USDT,USDC,USDT
REPXBT,REP/XBT,XREP,XXBT
BATJPY,BAT/JPY,BAT,ZJPY
GLMRUSD,GLMR/USD,GLMR,ZUSD
MKRUSD,MKR/USD,MKR,ZUSD
ACAEUR,ACA/EUR,ACA,ZEUR
API3EUR,API3/EUR,API3,ZEUR
YFIETH,YFI/ETH,YFI,XETH
UNIXBT,UNI/XBT,UNI,XXBT
XRPJPY,XRP/JPY,XXRP,ZJPY
DOTEUR,DOT/EUR,DOT,ZEUR
GALAUSD,GALA/USD,GALA,ZUSD
GHSTUSD,GHST/USD,GHST,ZUSD
NMRUSD,NMR/USD,NMR,ZUSD
SANDUSD,SAND/USD,SAND,ZUSD
WAXLEUR,WAXL/EUR,WAXL,ZEUR
AAVEUSD,AAVE/USD,AAVE,ZUSD
ALPHAUSD,ALPHA/USD,ALPHA,ZUSD
DOTGBP,DOT/GBP,DOT,ZGBP
SDNEUR,SDN/EUR,SDN,ZEUR
USDTEUR,USDT/EUR,USDT,ZEUR
CRVEUR,CRV/EUR,CRV,ZEUR
OCEANEUR,OCEAN/EUR,OCEAN,ZEUR
QNTUSD,QNT/USD,QNT,ZUSD
BCHAUD,BCH/AUD,BCH,ZAUD
BNCEUR,BNC/EUR,BNC,ZEUR
GARIEUR,GARI/EUR,GARI,ZEUR
EURUSD,EUR/USD,ZEUR,ZUSD
BCHUSDT,BCH/USDT,BCH,USDT
CHZEUR,CHZ/EUR,CHZ,ZEUR
ENJXBT,ENJ/XBT,ENJ,XXBT
FORTHEUR,FORTH/EUR,FORTH,ZEUR
XTZETH,XTZ/ETH,XTZ,XETH
RARIXBT,RARI/XBT,RARI,XXBT
SNXAUD,SNX/AUD,SNX,ZAUD
ETHDAI,ETH/DAI,XETH,DAI
MNGOUSD,MNGO/USD,MNGO,ZUSD
PONDUSD,POND/USD,POND,ZUSD
GSTEUR,GST/EUR,GST,ZEUR
MASKEUR,MASK/EUR,MASK,ZEUR
STEPUSD,STEP/USD,STEP,ZUSD
PSTAKEUSD,PSTAKE/USD,PSTAKE,ZUSD
TRUUSD,TRU/USD,TRU,ZUSD
YFIAUD,YFI/AUD,YFI,ZAUD
ALPHAEUR,ALPHA/EUR,ALPHA,ZEUR
GHSTEUR,GHST/EUR,GHST,ZEUR
OCEANGBP,OCEAN/GBP,OCEAN,ZGBP
ETHXBT,ETH/XBT,XETH,XXBT
ZECXBT,ZEC/XBT,XZEC,XXBT
BCHETH,BCH/ETH,BCH,XETH
COMPXBT,COMP/XBT,COMP,XXBT
OCEANXBT,OCEAN/XBT,OCEAN,XXBT
RENEUR,REN/EUR,REN,ZEUR
SCUSD,SC/USD,SC,ZUSD
FLOWEUR,FLOW/EUR,FLOW,ZEUR
KAREUR,KAR/EUR,KAR,ZEUR
POLSEUR,POLS/EUR,POLS,ZEUR
OMGJPY,OMG/JPY,OMG,ZJPY
REPV2ETH,REPV2/ETH,REPV2,XETH
WOOUSD,WOO/USD,WOO,ZUSD
USDCAD,USD/CAD,ZUSD,ZCAD
API3USD,API3/USD,API3,ZUSD
DASHUSD,DASH/USD,DASH,ZUSD
LINKAUD,LINK/AUD,LINK,ZAUD
MLNXBT,MLN/XBT,XMLN,XXBT
FLOWETH,FLOW/ETH,FLOW,XETH
MIRUSD,MIR/USD,MIR,ZUSD
SOLGBP,SOL/GBP,SOL,ZGBP
BITEUR,BIT/EUR,BIT,ZEUR
IDEXUSD,IDEX/USD,IDEX,ZUSD
RADEUR,RAD/EUR,RAD,ZEUR
RENXBT,REN/XBT,REN,XXBT
ACAUSD,ACA/USD,ACA,ZUSD
ANTXBT,ANT/XBT,ANT,XXBT
AVAXEUR,AVAX/EUR,AVAX,ZEUR
FILETH,FIL/ETH,FIL,XETH
SRMUSD,SRM/USD,SRM,ZUSD
SYNEUR,SYN/EUR,SYN,ZEUR
USDTCHF,USDT/CHF,USDT,CHF
USTUSD,UST/USD,UST,ZUSD
AAVEEUR,AAVE/EUR,AAVE,ZEUR
BNTXBT,BNT/XBT,BNT,XXBT
BOBAUSD,BOBA/USD,BOBA,ZUSD
GLMREUR,GLMR/EUR,GLMR,ZEUR
MATICXBT,MATIC/XBT,MATIC,XXBT
NEARUSD,NEAR/USD,NEAR,ZUSD
POLISEUR,POLIS/EUR,POLIS,ZEUR
AAVEAUD,AAVE/AUD,AAVE,ZAUD
ADXEUR,ADX/EUR,ADX,ZEUR
FORTHUSD,FORTH/USD,FORTH,ZUSD
AAVEETH,AAVE/ETH,AAVE,XETH
SRMGBP,SRM/GBP,SRM,ZGBP
TLMEUR,TLM/EUR,TLM,ZEUR
USTUSDC,UST/USDC,UST,USDC
XMREUR,XMR/EUR,XXMR,ZEUR
APEUSDT,APE/USDT,APE,USDT
EURGBP,EUR/GBP,ZEUR,ZGBP
INJUSD,INJ/USD,INJ,ZUSD
