altname,wsname,base,quote
XRPXBT,XRP/XBT,XXRP,XXBT
ALGOEUR,ALGO/EUR,ALGO,ZEUR
GARIEUR,GARI/EUR,GARI,ZEUR
LINKGBP,LINK/GBP,LINK,ZGBP
USDTEUR,USDT/EUR,USDT,ZEUR
KSMDOT,KSM/DOT,KSM,DOT
PERPEUR,PERP/EUR,PERP,ZEUR
SOLUSDT,SOL/USDT,SOL,USDT
USDCGBP,USDC/GBP,USDC,ZGBP
BCHXBT,BCH/XBT,BCH,XXBT
CTSIEUR,CTSI/EUR,CTSI,ZEUR
EURAUD,EUR/AUD,ZEUR,ZAUD
KP3REUR,KP3R/EUR,KP3R,ZEUR
USDTJPY,USDT/JPY,USDT,ZJPY
XRPEUR,XRP/EUR,XXRP,ZEUR
YFIXBT,YFI/XBT,YFI,XXBT
BSXEUR,BSX/EUR,BSX,ZEUR
FLOWXBT,FLOW/XBT,FLOW,XXBT
KEYUSD,KEY/USD,KEY,ZUSD
XBTUSD,XBT/USD,XXBT,ZUSD
USDAED,USD/AED,ZUSD,AED
XRPCAD,XRP/CAD,XXRP,ZCAD
ETH2.SETH,ETH2.S/ETH,ETH2.S,XETH
GLMRUSD,GLMR/USD,GLMR,ZUSD
SNXEUR,SNX/EUR,SNX,ZEUR
SYNEUR,SYN/EUR,SYN,ZEUR
ETHUSDC,ETH/USDC,XETH,USDC
IDEXUSD,IDEX/USD,IDEX,ZUSD
XRPAUD,XRP/AUD,XXRP,ZAUD
BCHAUD,BCH/AUD,BCH,ZAUD
DENTEUR,DENT/EUR,DENT,ZEUR
SPELLUSD,SPELL/USD,SPELL,ZUSD
ETHUSD,ETH/USD,XETH,ZUSD
KINTUSD,KINT/USD,KINT,ZUSD
OXYEUR,OXY/EUR,OXY,ZEUR
POLSUSD,POLS/USD,POLS,ZUSD
RADUSD,RAD/USD,RAD,ZUSD
ANKRUSD,ANKR/USD,ANKR,ZUSD
AUDUSD,AUD/USD,ZAUD,ZUSD
FETUSD,FET/USD,FET,ZUSD
ICPUSD,ICP/USD,ICP,ZUSD
RENXBT,REN/XBT,REN,XXBT
STORJEUR,STORJ/EUR,STORJ,ZEUR
TLMEUR,TLM/EUR,TLM,ZEUR
REPETH,REP/ETH,XREP,XETH
TBTCXBT,TBTC/XBT,TBTC,XXBT
XDGUSDT,XDG/USDT,XXDG,USDT
ASTREUR,ASTR/EUR,ASTR,ZEUR
CFGEUR,CFG/EUR,CFG,ZEUR
GNOXBT,GNO/XBT,GNO,XXBT
KEEPUSD,KEEP/USD,KEEP,ZUSD
MATICXBT,MATIC/XBT,MATIC,XXBT
PAXGEUR,PAXG/EUR,PAXG,ZEUR
REQEUR,REQ/EUR,REQ,ZEUR
